DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2016-07-01,,2042482,4307,175090,,138495.725660585,27.7596761708887,,,,,,,,
2016-08-01,,2037910,4118,173904,,197912.074786596,28.5598036414782,,,,,,,,
2016-09-01,,2051814,4089,175155,,150431.566893467,28.569934236839,,,,,,,,
2016-10-01,,2059812,4233,174939,,188048.757126259,28.7199133873985,,,,,,,,
2016-11-01,,2066662,4055,174358,,177859.09733363,28.8256254451734,,,,,,,,
2016-12-01,,2074578,4054,174936,,110972.443652178,28.0643938449784,,,,,,,,
2017-01-01,,2087045,4049,175616,,178492.405728321,27.2628936001936,,,,,,,,
2017-02-01,,2090902,4003,175029,,137230.429554179,27.0550105689406,,,,,,,,
2017-03-01,,2112228,4039,176597,,209637.372776903,26.9293201766542,,,,,,,,
2017-04-01,,2109517,3964,175526,,160457.996377318,27.4875976605743,,,,,,,,
2017-05-01,,2137612,4269,178309,,193425.583509967,28.1926864495739,,,,,,,,
2017-06-01,,2138988,3996,177987,,160990.065714098,27.956219147397,,,,,,,,
2017-07-01,,2160506,3946,178736,,190431.104589952,27.6631496583892,,,,,,,,
2017-08-01,,2168333,3945,179028,,201450.479191921,28.6041701380813,,,,,,,,
2017-09-01,,2177107,3944,179178,,179077.768336648,29.112351304137,,,,,,,,
2017-10-01,,2187122,3997,179026,,183022.79663621,28.8936671273942,,,,,,,,
2017-11-01,,2196232,3971,179285,,169733.475902075,28.6903667727633,,,,,,,,
2017-12-01,,2204532,3878,179151,,134065.845914515,28.242672143798,,,,,,,,
2018-01-01,,2204215,3817,178385,,184382.341203739,27.5575785457367,,,,,,,,
2018-02-01,,2200393,4043,177234,,119040.208295925,26.7900650899196,,,,,,,,
2018-03-01,,2228372,4058,179561,,204023.34505274,27.6885160620383,,,,,,,,
2018-04-01,,2225374,3948,177787,,155812.159321698,27.2089566874279,,,,,,,,
2018-05-01,,2235797,3936,177777,,174397.442799565,27.8168555928506,,,,,,,,
2018-06-01,,2238855,3923,177436,,168265.36822576,27.8581321274102,,,,,,,,
2018-07-01,,2245099,4007,177023,,180735.199488782,27.7709483113957,,,,,,,,
2018-08-01,,2255055,4020,176761,,219373.241969875,28.0935196979178,,,,,,,,
2018-09-01,,2251586,3977,175632,,196478.968166197,28.5212041170036,,,,,,,,
2018-10-01,,2264070,3996,176075,,241468.96519629,28.7695212308658,,,,,,,,
2018-11-01,,2261596,4035,175357,,185607.734347774,28.742607298258,,,,,,,,
2018-12-01,,2267587,4059,175187,,163236.337655435,27.2246694121175,,,,,,,,
2019-01-01,,2271946,4025,174776,,229640.027795513,27.2307172785302,,,,,,,,
2019-02-01,,2290938,4011,174389,,166775.072476858,26.5810810755345,,,,,,,,
2019-03-01,,2275911,3999,173836,,217587.652819996,27.1451083770008,,,,,,,,
2019-04-01,,2281953,3965,173925,,209040.158686907,27.4641963318642,,,,,,,,
2019-05-01,,2291882,4027,174296,,231989.882384652,27.8909223015112,,,,,,,,
2019-06-01,,2292092,4044,173441,,182157.823538666,27.8376134524504,,,,,,,,
2019-07-01,,2299220,4074,173399,,199729.905781527,27.7957492552927,,,,,,,,
2019-08-01,,2302210,4034,173032,,212548.896853422,28.3001071276701,,,,,,,,
2019-09-01,,2305809,4034,172777,,192916.768793177,28.9711653918324,,,,,,,,
2019-10-01,,2315854,4051,172831,,199162.35219966,28.3202975104994,,,,,,,,
2019-11-01,,2323102,4089,174127,,166127.070748289,28.376842939651,,,,,,,,
2019-12-01,,2316374,4001,173085,,166649.150516214,28.3790247813803,,,,,,,,
2020-01-01,,2333794,4034,173164,,186627.756392709,27.3475583956601,,,,,,,,
2020-02-01,,2314544,3977,170912,,142898.334433755,27.1234310187334,,,,,,,,
2020-03-01,,2321842,3995,171113,,194498.10176258,27.5905511101832,,,,,,,,
2020-04-01,,2322060,3971,170052,,158879.150520907,27.562550875067,,,,,,,,
2020-05-01,,2344109,3967,169855,,235579.34132639,28.4029775482971,,,,,,,,
2020-06-01,,2344363,3945,169550,,217019.18838829,28.0578141131159,,,,,,,,
2020-07-01,,2334105,3987,169586,,212236.615112313,28.5551344733262,,,,,,,,
2020-08-01,,2335997,4000,169188,,218921.799259459,28.7912914050655,,,,,,,,
2020-09-01,,2346932,4026,169102,,202028.291564876,29.4533235615636,,,,,,,,
2020-10-01,,2353972.796,4034.052,169017.449,,195219.540050475,28.5030607269395,,,,,,,,
2020-11-01,,2358680.741592,4038.086052,169101.9577245,,157045.277960621,28.4487104959608,,,,,,,,
2020-12-01,,2363398.10307518,4042.124138052,169271.059682225,,246350.05500469,27.9388723605474,,,,,,,,
