DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2010-08-01,516722,1446931,3763,134781,78668.763067575,179404.329782425,33.3645161290322,188.1,142.775996966977,679676,660562025.046292,154.396589012369,153.72,106.0,82.6
2010-09-01,538236,1453430,3801,135120,78716.01098983,157924.69235017,33.5466666666666,95.5,146.489211704632,678917,660173118.60877,152.392177399758,149.88,99.3,82.2
2010-10-01,537191,1461404,3786,135662,80379.53170127,173519.68275873,33.2451612903225,138.3,113.907106255261,674681,659766330.002692,138.036219445568,146.81,100.9,81.7
2010-11-01,534855,1468647,3817,136205,78635.61353116,160935.329148839,33.6933333333333,136.2,121.691167193482,678576,659676899.700897,135.283223771266,148.81,103.8,83.4
2010-12-01,535651,1475157,3806,136404,78764.7025874349,160684.047542564,32.8,226.2,166.072428162541,680804,660329794.973611,179.946746007977,160.29,107.1,115.1
2011-01-01,503398,1482460,3783,136334,74094.25244315,150783.167256849,31.1,520.3,190.733613472804,683061,694653954.44991,169.148363628856,153.78,99.1,77.2
2011-02-01,462394,1489180,3798,136515,67650.66963426,135646.42084574,30.95,332.9,120.221454029216,690463,692376510.454187,157.15412852993,136.9,86.0,74.9
2011-03-01,500732,1503810,3804,137263,75416.69811153,166012.94282847,31.2419354838709,544.4,130.502146842628,691083,693210593.897059,174.838054416338,141.56,91.2,79.8
2011-04-01,492723,1512475,3747,138179,73571.211092645,157725.893617354,31.4933333333333,580.7,135.10436867284,697350,691631525.919734,158.755894282407,142.12,94.2,78.0
2011-05-01,512281,1521070,3739,139483,79098.93627019,186955.08334981,33.3064516129032,477.8,183.192491014278,693601,690251915.213436,177.757306392294,155.36,102.3,84.5
2011-06-01,553354,1533797,3762,140381,78195.110208695,138608.179401304,32.81,241.5,226.268989592061,691857,694023865.047715,168.744128289502,167.22,100.6,83.7
2011-07-01,543443,1540548,3759,140552,79407.6522237399,158641.081296259,32.6612903225806,195.3,194.284812832347,691477,695517100.10416,164.50627771709,164.95,111.3,84.8
2011-08-01,547659,1534532,3731,138797,102562.144863296,175943.319446704,33.6806451612903,191.1,147.429682329381,686487,697400025.917045,173.242700419062,164.2,110.2,87.8
2011-09-01,559872,1519870,3715,136693,102373.214231935,163470.774228063,33.7033333333333,75.7,151.929507463973,754803,695018656.203795,168.74799931081,157.35,104.6,84.7
2011-10-01,551507,1513383,3702,135546,104106.416675648,183390.095354351,33.2967741935483,139.1,117.490902127408,757284,694871874.842802,156.539325246624,152.78,105.5,85.5
2011-11-01,532933,1542971,3747,139198,99936.05515008,172550.575649919,33.02,174.6,128.54205973589,767136,694164747.25599,152.487686867507,153.82,102.6,84.6
2011-12-01,561467,1550854,3676,139529,105036.497894015,178712.948365983,32.6709677419354,201.7,185.127012821351,772311,693549851.034742,197.93619570036,170.75,111.2,119.8
2012-01-01,531742,1557241,3758,139579,99239.448433024,168118.165706975,31.2064516129032,440.0,189.621896338241,774176,771651718.583553,178.82399251877,150.64,83.6,84.9
2012-02-01,489356,1558525,3715,139208,91229.356910336,153383.198049664,30.2793103448275,411.9,124.423706391132,783445,771367670.38707,170.399191866918,140.94,84.0,78.8
2012-03-01,523413,1551537,3697,137802,99466.570946752,176475.338023247,30.8967741935483,741.77,136.538012743864,786332,771281936.830933,181.948811611501,148.73,91.3,91.2
2012-04-01,514197,1549687,3621,137466,98742.080913152,177627.199806848,31.95,377.4,140.888950101743,786332,768892330.999357,169.386568900099,148.4,94.5,83.1
2012-05-01,542855,1549081,3634,137336,105993.113450815,199574.385059183,32.4612903225806,244.5,185.398455356361,791848,770035785.798776,185.332977482259,163.5,106.9,95.9
2012-06-01,534135,1554881,3633,137979,101892.593321792,176940.865548208,32.26,319.8,234.947155305963,789225,769929917.23901,179.372046395678,173.52,103.8,96.6
2012-07-01,521931,1565959,3670,139470,104528.14095776,204000.15839224,32.3354838709677,319.5,209.752808192046,792445,768799693.896951,175.746919363748,167.8,105.4,97.1
2012-08-01,550373,1631316,3813,146123,110532.067866432,218611.020403568,32.5870967741935,112.2,152.49352740495,809589,770760734.27447,176.91492625362,169.56,105.4,103.7
2012-09-01,550652,1634680,3784,146491,108174.090643136,202938.828566864,32.86,197.0,156.716211211343,806466,769255131.828052,181.750334288847,160.4,99.2,90.6
2012-10-01,550800,1639373,3815,146659,113693.66956032,241155.56863968,33.1,44.8,122.150384578475,808111,769265082.107068,164.714506958639,160.64,109.8,102.5
2012-11-01,562692,1642353,3804,147029,112002.022189888,218800.445240112,33.31,103.0,132.195884612126,811073,769543539.711638,156.934558862259,155.86,102.1,95.5
2012-12-01,540431,1641612,3733,145845,109917.26176,225367.284239999,32.9774193548387,269.7,184.892809958769,813367,766072136.336506,212.531891713948,172.13,113.9,127.4
2013-01-01,537682,1651018,3798,147501,109021.86851392,220682.13418608,32.2967741935483,361.7,214.096271421016,810305,825011527.433254,179.384722571085,161.73,94.1,92.7
2013-02-01,527606,1656299,3811,147930,97782.3811584,153381.5508416,31.8321428571428,557.7,135.92234689176,796352,822073324.78526,166.077250809041,143.84,78.8,81.9
2013-03-01,506924,1659982,3809,147963,110831.286800063,264366.156489935,31.8548387096774,530.2,151.405838638999,819782,821462382.091863,185.183583085921,149.35,80.9,95.3
2013-04-01,552109,1664656,3838,148941,109310.305629119,210046.996820879,32.6666666666666,527.0,155.223740494984,814791,819131173.247899,167.686866162106,145.91,71.7,93.3
2013-05-01,558461,1668467,3851,149475,114272.688745408,239858.040384591,32.9612903225806,409.6,205.484696276827,818474,821162925.327115,183.119239213324,157.79,85.1,99.9
2013-06-01,571882,1671826,3858,149853,113434.299230016,219147.512279984,33.3033333333333,150.5,263.974533079118,809138,824135104.027903,182.459952982548,176.13,100.6,95.0
2013-07-01,588747,1677795,3876,150910,114992.469608639,213292.62304136,32.5647387096774,220.8,236.674327510762,821244,827202170.275057,176.626501280181,175.45,112.4,98.9
2013-08-01,596168,1686381,3885,150964,121163.421656512,249053.461913487,33.2193548387096,245.9,168.188574182216,829914,830185464.587073,177.706838551786,171.63,108.3,98.9
2013-09-01,590557,1694248,3926,151435,118543.6293264,236704.1544236,33.3033333333333,110.6,174.777391355752,836429,829831505.131825,180.378951728525,165.29,103.0,93.1
2013-10-01,627804,1704702,3942,151888,124161.434290368,240541.420439631,33.0483870967741,83.8999999999999,133.57117043746,836436,831531353.508161,165.752725358108,165.76,115.3,100.5
2013-11-01,614175,1719638,3972,152665,118128.786211967,210023.368768032,32.72,210.7,145.671151983108,836692,830482067.491803,158.889134935831,161.94,105.8,99.0
2013-12-01,668617,1733995,4030,153328,121300.550241599,177827.347508399,32.6032258064516,308.7,208.059434022422,860572,827034900.008212,211.762234563987,179.74,120.7,128.3
2014-01-01,581058,1746246,3983,153767,116392.58561568,228739.956934319,31.4419354838709,408.099999999999,251.538479203986,861315,875660221.612196,199.216241640404,172.08,93.5,96.7
2014-02-01,605064,1761934,4000,154474,103145.873645446,112439.786833553,30.9535714285714,603.5,138.264712831133,863091,871531459.668055,185.20261353063,146.88,82.0,86.9
2014-03-01,611537,1776319,3992,154966,114416.453950848,183484.564829152,31.2806451612903,562.7,154.582184345913,874992,868539226.896515,211.657976668272,154.45,91.1,92.9
2014-04-01,598449,1787078,4020,155815,113237.134537222,189280.973801777,31.5733333333333,563.7,152.691310993897,881553,868092849.371085,188.78455769182,155.87,98.2,92.0
2014-05-01,643806,1797142,4010,156734,120298.023030931,193700.818526068,31.6483870967741,329.9,211.964615187864,873712,866820788.474969,204.376593660741,172.01,108.2,100.7
2014-06-01,652454,1805802,4003,157585,118409.054897753,171727.531248246,32.4,287.0,260.893767100497,883081,868125325.396843,203.075406296625,184.58,106.9,92.2
2014-07-01,670147,1825406,4032,158762,121171.140947814,175004.198636185,32.4064516129032,242.8,243.823939378813,898043,873014135.914192,199.001731890125,181.78,111.3,100.9
2014-08-01,655587,1830202,4030,158669,125341.504891763,217237.227810236,32.8548387096774,84.3999999999999,173.792447489901,885342,872705817.711888,199.989233113292,176.12,114.6,97.0
2014-09-01,674562,1841948,4038,159280,123710.617598227,186137.799018772,32.92,220.899999999999,181.609357065016,887633,870556507.911926,198.270300235677,171.85,108.9,96.9
2014-10-01,670790,1853471,4026,160062,129064.094154956,227404.432093043,33.1322580645161,82.2,135.130371917991,888083,873224681.21216,180.837723443718,168.93,121.1,110.9
2014-11-01,676007,1863806,4032,160303,125911.871335065,202615.782880934,34.6133333333333,41.3,153.74114223094,889818,872811294.854399,180.640064342628,166.5,113.1,104.4
2014-12-01,715473,1880167,4022,161044,126673.513069919,166989.029255078,33.9967741935483,186.5,242.529672125,887426,869312176.858287,235.831281098711,188.35,122.4,128.5
2015-01-01,627521,1890572,4050,161801,119413.392179385,202496.740611614,32.6322580645161,502.4,234.444982321182,886667,929513788.3887,206.81816988028,171.47,99.1,95.4
2015-02-01,642460,1899070,4042,162199,106300.40315374,98071.7528342589,32.1999999999999,414.4,149.71433889679,887241,919943088.135809,198.906660803154,153.54,89.6,83.4
2015-03-01,617714,1908223,4037,161795,115219.378550937,186494.528585063,31.7129032258064,539.1,170.26623807887,886273,911092044.564743,212.25054435852,164.81,103.2,96.9
2015-04-01,583150,1918917,4025,162303,113466.922645401,209437.935530598,31.8766666666666,604.9,170.039642846192,874178,910371026.654523,196.813281189546,162.4,104.6,90.3
2015-05-01,609999,1924810,4033,162900,121026.509042143,236471.633422855,32.7064516129032,396.0,228.124334561797,873680,906780835.408795,212.814026962799,173.35,109.0,94.8
2015-06-01,607466,1931883,4000,163502,119322.450022944,227081.151192056,32.9266666666666,213.8,311.306704140102,870897,903957631.533863,210.593011572512,191.5,110.4,91.6
2015-07-01,698632,1936480,3967,164392,121229.794483705,147896.831257294,32.716129032258,172.4,274.64103395622,872964,901862151.509328,203.72082267951,185.22,114.9,94.3
2015-08-01,682062,1946031,3969,164732,105568.542056977,227476.688974022,33.3193548387096,100.6,185.608044897299,871823,898855470.520278,211.400325151693,176.98,107.9,90.0
2015-09-01,715516,1958909,4018,165916,105102.808926977,191162.189592022,33.8499999999999,96.7,190.982617040425,865630,894091486.412679,206.240416485813,175.69,118.5,87.5
2015-10-01,770169,1972138,4012,166348,110153.480331885,181149.362419113,34.4258064516129,26.4,145.620194418419,893338,887574820.999828,189.74094654948,166.48,121.2,91.3
2015-11-01,792390,1975094,4007,167656,104942.456336167,114799.618201832,34.1433333333333,98.2999999999999,159.008063450882,885315,881928465.522096,187.400007078282,164.62,115.6,92.5
2015-12-01,791363,1987682,3998,168116,105234.419380525,118042.568962475,33.2064516129032,258.2,224.580148036091,890127,877013856.760857,245.471942364695,178.43,122.5,113.0
2016-01-01,637769,1984630,3991,167663,100758.056854029,225559.169484971,31.9225806451612,355.9,212.542539685883,913985,967906474.322868,211.349092722795,165.33,109.2,82.2
2016-02-01,620826,1985024,3973,167388,93986.6451362837,181650.880078716,32.0379310344827,532.9,155.11729571152,913363,962412975.687717,199.276794923484,155.44,102.9,78.6
2016-03-01,592985,1943763,3660,162289,100202.138449055,242938.305360943,32.0193548387096,591.1,178.557443642836,914477,962072125.126652,222.845415207205,161.25,110.3,83.1
2016-04-01,596962,1975888,3566,165124,100087.402928404,228827.825740596,32.8533333333333,415.2,182.177758539899,915780,959450155.796666,206.509554117128,160.11,112.8,79.1
2016-05-01,647984,2031883,4080,170530,106002.430803731,219841.742848268,33.1064516129032,269.099999999999,233.407227971201,912079,957456268.470539,229.139121820607,169.53,117.1,80.6
2016-06-01,684549,2033534,4406,172961,102047.705012534,150145.906959465,32.9966666666666,283.01,335.22267260936,910221,957462242.946628,224.402010117573,190.09,126.3,78.5
2016-07-01,700926,2064132,4369,177458,102798.535505373,138495.810800627,33.1516129032258,175.299999999999,291.80280206624,904678,953576533.825799,216.481293688519,182.36,126.1,78.4
2016-08-01,696205,2049093,4117,174486,109152.769924854,197912.402053145,33.8354838709677,107.5,189.609763302878,901664,952528552.299257,221.907305800456,179.68,125.8,77.3
2016-09-01,708109,2062381,4109,175943,104620.945908351,150433.796263648,33.4766666666666,57.1,195.217678137943,912388,953074825.457896,209.310433240569,172.6,122.5,71.9
2016-10-01,695071,2072954,4258,175610,107914.220096767,188050.013423899,33.9258064516129,174.399999999999,151.56670371385,910399,953989320.45859,211.835598650111,159.92,123.6,76.2
2016-11-01,692936,2081517,4080,175314,106549.759648349,177860.62863665,34.0233333333333,104.5,159.668124875899,896253,954251880.288024,205.430290192235,160.55,126.6,79.0
2016-12-01,722293,2096077,4231,176288,102803.462210925,110974.309934075,32.4032258064516,355.5,203.74168516697,898914,952837669.138944,258.541632183919,172.7,135.7,98.8
2017-01-01,595782,2101232,4059,176317,96870.9578549191,178494.12273608,31.474193548387,599.099999999999,234.802319498056,916730,1010703007.58212,225.03621425381,167.1,124.6,76.2
2017-02-01,550265,2093584,4040,175199,86868.3266604564,137232.821390639,31.1607142857142,597.6,156.117685594627,922043,1008557397.15123,202.320374361384,149.17,105.8,68.2
2017-03-01,557980,2120451,4053,177062,96862.072207316,209642.070193523,31.0193548387096,668.099999999999,186.991171834738,919377,1006470953.75639,228.521060878898,162.2,117.2,82.7
2017-04-01,594646,2121480,4009,177058,95213.7364234456,160461.270260554,31.0280555555555,485.5,190.246418936676,909210,1007947774.31754,222.79688024362,159.45,118.7,76.9
2017-05-01,637623,2154089,4298,179318,105264.878405503,193429.197141547,33.4548387096774,269.6,249.540075343356,896965,1005190892.08705,237.565816976611,178.24,134.9,84.4
2017-06-01,651566,2147267,4008,178461,102769.18626938,160994.22621062,33.7733333333333,186.9,364.363348792566,894108,1006559870.98747,227.698961239763,202.25,135.7,80.9
2017-07-01,626971,2167007,3955,179257,104157.213086403,190436.452277596,33.7645161290322,35.5,318.349824982368,868618,1006536634.994,234.296100263196,192.23,143.1,83.8
2017-08-01,668547,2185981,3982,180054,109645.084549671,201456.728105683,34.2709677419354,102.599999999999,197.647898771835,914009,1009908271.39238,234.469029861765,182.47,138.3,84.4
2017-09-01,677620,2192551,3967,180029,108302.241495952,179085.080739849,34.4666666666666,45.1,205.884321918892,910180,1010764590.89134,221.891499731527,178.48,138.4,81.4
2017-10-01,686584,2205302,4052,179902,109651.558738291,183029.66006096,33.6096774193548,222.5,152.294766512684,921375,1005978747.48777,214.705562330008,164.99,144.6,85.0
2017-11-01,670985,2214821,4013,180073,106822.207374851,169741.451599581,34.0599999999999,100.8,164.370982683,922067,1011156212.59032,209.748935886257,165.03,140.5,89.2
2017-12-01,686778,2226751,3929,180238,104664.995795315,134074.038943801,33.2483870967741,265.1,225.031492353539,931009,1008246886.38374,259.795949627723,178.23,145.3,108.2
2018-01-01,596699,2212467,3826,178859,99569.1758517984,184254.219469442,32.4,362.8,224.009891871319,941153,1020119742.40113,238.144525988902,175.6,144.1,85.4
2018-02-01,559370,2206952,4052,177619,87420.612627018,118926.057858927,30.6071428571428,671.6,146.210493675378,946109,1018837253.24904,220.473533862501,152.98,105.9,74.7
2018-03-01,576136,2236724,4075,180072,100628.992691898,203890.142555719,32.6838709677419,506.599999999999,177.875897627704,947811,1019620171.91401,232.781231998516,166.16,130.5,89.2
2018-04-01,588568,2235643,3968,178395,95846.0989489422,155341.146548057,32.0533333333333,405.699999999999,180.772587794334,934273,1018786111.24521,226.577278563058,161.1,117.6,81.5
2018-05-01,614338,2243553,3952,178238,100096.474522147,174398.348880853,32.7903225806451,438.199999999999,241.393138458153,943410,1011138227.52604,243.426495838711,173.67,143.2,88.4
2018-06-01,626204,2247771,3932,177935,102035.174518532,168222.952343467,33.5766666666666,132.799999999999,363.241067525563,944283,1001821635.71029,230.142232085265,200.9,153.8,85.9
2018-07-01,628019,2253186,4031,177496,104240.924593473,180771.578432526,33.3967741935483,135.5,314.206119956656,949758,1000372752.82425,238.786690400134,193.47,162.6,88.1
2018-08-01,617650,2262790,4040,177336,106295.195553389,219347.922416378,33.4612903225806,192.5,188.955148341677,958618,998698715.795861,231.982251742268,183.16,153.7,92.0
2018-09-01,637040,2254632,4001,175850,106547.964751014,196441.571257647,33.89,170.899999999999,198.23587504281,947586,996354121.379868,229.796891261425,178.82,158.0,86.2
