DATA,CFCT,NC-R,NC-I,NC-C,TEMP-MAX,I-PLUV,PNT-TOT,IMR-TOT,IV-CVA,PFI-IG
07/01/2021,759347.058706876,2378230.3336352,4064.64519634039,171418.649932652,27.6789048780425,4.02044639079372,193780.715096121,3181965381.62129,101.909917267009,126.205087988491
08/01/2021,769590.744645084,2380356.80884125,4067.8727172282,171727.664776517,28.2348926042567,2.7133235031712,170775.287227753,3205299449.69163,107.113658879458,123.800169721874
09/01/2021,786171.618390838,2382485.18541771,4071.10280092053,172037.236678635,28.6271433251129,2.60076912559974,183483.571523295,3177164155.89621,101.920851218226,122.126834214336
10/01/2021,790657.345116886,2384615.46506469,4074.33544945237,172347.36664321,28.5164025865706,3.19214036875166,184298.306739996,3208025289.20389,107.974147296315,127.714065298823
11/01/2021,779706.981053303,2386747.64948379,4077.57066486032,172658.055676257,28.4471238342199,4.00615133128104,145811.696597277,3290901593.1762,114.092358492831,126.14421172808
12/01/2021,786772.618491909,2388881.74037816,4080.80844918261,172969.304785603,27.9335824126954,7.17500649771836,228858.44407473,3166139465.84114,131.408563780245,128.26881020738
01/01/2022,713004.420547273,2395278.36144064,4084.34557626166,173564.364149546,27.2913938798046,10.642282811966,166243.927896957,3151298141.49377,98.5833549421383,118.408331011047
02/01/2022,693594.287935354,2401692.11050084,4087.88576922046,174161.47067236,27.008193996262,13.795993813547,121658.223286082,3116611044.28174,90.4984941346047,109.86237713542
03/01/2022,707263.444820777,2408123.03342178,4091.42903071642,174760.631396803,27.2476796845026,15.4133466349134,276456.419979222,3218833770.09408,101.341930274583,118.140259933638
04/01/2022,718822.674672082,2414571.17618928,4094.97536340927,175361.853389863,27.4411624169868,12.9621085815477,138550.930623993,3237343929.43455,95.8488354834512,111.949784322838
05/01/2022,746720.894728903,2421036.58491228,4098.52476996102,175965.143742839,27.8273149301889,9.01835676332119,218207.440773321,3266546798.16168,104.726853711842,126.955517536781
06/01/2022,769435.327879256,2427519.30582321,4102.07725303601,176570.509571427,27.6851533834863,5.44794440917495,313100.85152439,3313581381.68137,103.390265885281,117.885391710556
07/01/2022,785792.81872476,2434019.38527827,4105.63281530088,177177.958015803,27.6307483154902,4.05759005014787,183166.179245716,3259111402.19595,107.271299706694,130.702674576727
08/01/2022,797921.507010113,2440536.8697578,4109.19145942459,177787.496240705,28.2175680921611,2.65991975353348,160144.300777953,3332384881.93384,109.616024860198,128.212051935475
09/01/2022,817460.556562292,2447071.8058666,4112.75318807839,178399.131435524,28.6015111675381,2.63983026301577,163163.078330068,3302105200.73732,105.477697515131,126.47908356007
10/01/2022,823600.494781386,2453624.24033425,4116.31800393588,179012.870814379,28.5101139246731,3.14501600921125,173863.536903798,3333414047.71623,110.622949633309,132.265427501189
11/01/2022,814065.372483236,2460194.22001548,4119.88590967295,179628.72161621,28.4428022630211,3.99238863811987,134199.097813846,3419472224.20122,110.697859458992,130.63962886137
12/01/2022,822605.988434238,2466781.79189044,4123.45690796781,180246.691104863,27.9317442052388,7.24968805481441,210813.200641841,3288241687.13246,145.564758483513,132.8399419238
01/01/2023,744961.584925773,2472891.38907912,4126.9532862154,180556.208073055,27.3292011300667,10.553206447305,163840.813053937,3307630022.83225,102.461725067563,122.673543124157
02/01/2023,724729.126673391,2479016.11820122,4130.45262912616,180866.256539235,27.0279150336166,14.0584715073916,118201.171078441,3262597580.44808,94.0587975575664,113.819753594761
03/01/2023,738012.234136636,2485156.0167347,4133.95493921391,181176.837416084,27.2680409038112,15.5707326681922,273162.807284272,3369213373.12499,105.328825578161,122.395815800462
04/01/2023,749968.486547671,2491311.1222504,4137.46021899458,181487.951617848,27.4723102883996,12.7662307248595,135651.809339245,3388506944.50881,99.6196268134269,115.982351728161
