DATA,CFCT,NC-R,NC-I,NC-C,NC-RUR,NC-PPU,NC-IPU,NC-SPU,NC-PRO,NC-TOTAL,PT,PT-INT,PT-ISO,PT-TOT,PNT-INT,PN-ISO,PNT-TOT,TEMP-MIN,TEMP-MAX,I-PLUV,U-REL,IPAGRO,MR-BF,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2009-07-01,475496.209,1349523,3826,130424,119304,14157,357,1460,264,1619315,205296.176879999,66147.969145,3020.64526606,69168.61441106,132023.234855,4104.32761394,136127.562468939,23.1387096774193,32.5193548387096,195.0,64.3870967741935,197.800632247834,96397677.3610502,576411,604832806.271011,134.843404911729,144.83,98.3,72.7
2009-08-01,474513.949999999,1356719,3826,130427,121426,14145,341,1483,265,1628632,239949.166559999,69328.89957,3170.88834372,72499.7879137199,163046.484429999,4402.89421628,167449.378646279,23.474193548387,33.5806451612903,92.7,59.0967741935483,147.83328134793,103415732.146245,620186,605205114.563748,141.689229796024,144.29,96.4,75.5
2009-09-01,491783.636999999,1363769,3798,130864,124047,14351,348,1486,269,1638932,215202.840599999,68581.4855195,3141.1224252,71722.6079447,139377.652480499,4102.5801748,143480.232655299,23.1066666666666,33.5766666666666,111.3,63.9333333333333,152.742196086212,113808951.233996,619421,608033817.191683,138.295302972428,141.13,92.0,77.3
2009-10-01,495674.398,1370522,3825,131208,124897,14338,346,1487,264,1646887,245113.57655,71942.6677565,3272.267698725,75214.935455225,165268.708243499,4629.932851275,169898.641094775,22.9193548387096,33.6354838709677,142.1,64.8387096774193,119.466278189461,116734053.122313,637968,608497356.936898,124.014531302858,140.71,96.9,75.6
2009-11-01,502533.567,1377953,3824,131717,127353,14412,347,1491,266,1657363,224179.205229999,70439.295491,3202.485729885,73641.781220885,146631.041508999,3906.382500115,150537.424009114,23.2533333333333,34.02,45.1,64.9,126.518898681134,116368960.694302,638125,609106340.791193,122.094955564052,137.68,91.5,72.9
2009-12-01,509576.341999999,1385198,3778,131968,129041,14561,351,1498,266,1666661,217848.76008,70577.5830785,3248.87211746,73826.45519596,139869.8719215,4152.43296253999,144022.30488404,23.7129032258064,32.416129032258,253.7,76.7741935483871,166.48416547289,116028445.672538,635205,609264270.008068,168.962925071323,147.33,93.9,101.2
2010-01-01,472101.605,1388562,3818,131784,130419,14554,349,1502,267,1671255,234857.3273,68730.997105,3139.82103485,71870.8181398499,158611.377894999,4375.13126515,162986.50916015,23.2516129032258,31.0612903225806,452.3,79.3225806451613,170.018860785763,113337151.615262,646724,656857348.413336,148.321481174005,142.28,94.3,70.7
2010-02-01,458472.653999999,1392733,3781,132066,130843,14600,351,1508,263,1676145,194785.0524,63564.9830745,2893.2059168,66458.1889913,124897.3449255,3429.51848319999,128326.8634087,23.7964285714285,31.85,359.7,79.1785714285714,116.758156156555,115852977.662099,661728,651537569.30061,141.486640473255,134.19,88.2,65.5
2010-03-01,511173.315999999,1400567,3760,132081,130421,14619,347,1501,264,1683560,246270.362329999,73536.72472,3369.939762335,76906.6644823349,163283.784279999,6079.91356766499,169363.697847665,22.9609677419354,29.7987096774193,605.5,84.4838709677419,128.349755854109,116009957.734974,663252,650679276.453228,155.349126373463,143.14,99.7,78.5
2010-04-01,499524.703999999,1410957,3766,133000,130209,14730,348,1521,264,1694795,201683.1585,68031.588919,3143.62633275,71175.21525175,127295.951081,3211.99216724999,130507.94324825,23.5936666666666,31.1933333333333,453.51,82.4666666666666,139.18325995832,118180528.802431,671713,651156570.790272,142.38453428035,139.66,93.2,70.4
